id,title,author,price,description,genre
10,The Odyssey,Homer,9.49,Odysseus’ ten-year journey back to Ithaca after the Trojan War.,History
11,Harry Potter and the Sorcerer's Stone,J.K. Rowling,10.99,The adventures of Harry Potter a young wizard on his eleventh birthday when he discovers he is the orphaned son of two powerful wizards.,Fantasy
12,The Hunger Games,Suzanne Collins,8.49,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,Science Fiction
13,The Da Vinci Code,Dan Brown,15.99,Harvard symbologist Robert Langdon works to solve a murder in the Louvre Museum and discovers a battle between the Priory of Sion and Opus Dei over the possibility of Jesus having been married to Mary Magdalene.,Fiction
14,The Alchemist,Paulo Coelho,8.99Combining magic mysticism wisdom and wonder into an inspiring tale of self-discovery The Alchemist has become a modern classic selling millions of copies around the world and transforming the lives of countless readers across generations. Paulo Coelho's masterpiece tells the mystical story of Santiago an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different—and far more satisfying—than he ever imagined. Santiago's journey teaches us about the essential wisdom of listening to our hearts of recognizing opportunity and learning to read the omens strewn along life's path and most importantly to follow our dreams.,Fiction
15,The Book Thief,Markus Zusak,12.49,The story of Liesel Meminger a foster girl living outside of Munich during World War II. She scratches out a meager existence for herself by stealing when she encounters something she can’t resist–books.,History
16,Gone with the Wind,Margaret Mitchell,10.99,The sweeping tale of love and loss set against the backdrop of the American Civil War and the Reconstruction era.,History
17,The Fault in Our Stars,John Green,9.99,The touching story of two teenage cancer patients who begin a life-affirming journey to visit a reclusive author in Amsterdam.,Romance
18,The Chronicles of Narnia,C.S. Lewis,16.99,A series of seven fantasy novels that recount the adventures of children in the world of Narnia guided by the lion Aslan.,Fantasy
19,The Shining,Stephen King,11.99,Jack Torrance becomes winter caretaker at the isolated Overlook Hotel in Colorado hoping to cure his writer's block. He settles in along with his wife Wendy and his son Danny who is plagued by psychic premonitions.,Horror
20,Dracula,Bram Stoker,7.49,The classic Gothic horror story about the Transylvanian vampire Count Dracula and his attempt to move to England.,Horror
